M=N=K,IMPLEMENTATION,GFLOPS
2,mnk,0.0754717
2,mkn,0.112676
2,nmk,0.125984
2,nkm,0.128
2,kmn,0.124031
2,knm,0.108108
4,mnk,0.43686
4,mkn,0.453901
4,nmk,0.477612
4,nkm,0.477612
4,kmn,0.470588
4,knm,0.439863
8,mnk,0.807571
8,mkn,0.390393
8,nmk,0.796267
8,nkm,0.782875
8,kmn,0.829822
8,knm,0.699454
16,mnk,0.56964
16,mkn,0.756627
16,nmk,0.542409
16,nkm,0.694532
16,kmn,0.651296
16,knm,0.65171
32,mnk,0.665536
32,mkn,1.05708
32,nmk,0.646592
32,nkm,0.982343
32,kmn,0.990074
32,knm,0.950114
64,mnk,0.784764
64,mkn,1.4228
64,nmk,1.1926
64,nkm,1.25079
64,kmn,2.64533
64,knm,1.93366
128,mnk,1.75734
128,mkn,3.33987
128,nmk,1.86059
128,nkm,0.727384
128,kmn,3.36831
128,knm,0.744162
256,mnk,1.58559
256,mkn,3.45224
256,nmk,1.55912
256,nkm,0.612699
256,kmn,3.50887
256,knm,0.614716
512,mnk,0.665961
512,mkn,3.50436
512,nmk,0.663951
512,nkm,0.438631
512,kmn,3.47697
512,knm,0.440018
1024,mnk,0.666726
1024,mkn,3.49875
1024,nmk,0.629244
1024,nkm,0.338432
1024,kmn,3.52381
1024,knm,0.342147
